date,value
2019-01-01T00:00:00,0
2019-01-02T00:00:00,0
2019-01-03T00:00:00,0
2019-01-04T00:00:00,0
2019-01-05T00:00:00,0
2019-01-06T00:00:00,0
2019-01-07T00:00:00,0
2019-01-08T00:00:00,0
2019-01-09T00:00:00,0
2019-01-10T17:05:00,1
2019-01-11T15:31:00,1
2019-01-12T00:00:00,0
2019-01-13T00:00:00,0
2019-01-14T00:00:00,0
2019-01-15T00:00:00,1
2019-01-16T00:00:00,0
2019-01-17T00:00:00,0
2019-01-18T00:50:20,1
2019-01-19T19:05:00,1
2019-01-20T00:00:00,0
2019-01-21T05:42:00,1
2019-01-22T00:00:00,0
2019-01-23T00:00:00,0
2019-01-24T18:07:00,1
2019-01-25T00:00:00,0
2019-01-26T00:00:00,0
2019-01-27T00:00:00,0
2019-01-28T00:00:00,0
2019-01-29T00:00:00,0
2019-01-30T00:00:00,0
2019-01-31T00:00:00,0
2019-02-01T00:00:00,0
2019-02-02T00:00:00,0
2019-02-03T00:00:00,0
2019-02-04T00:00:00,0
2019-02-05T21:01:00,2
2019-02-06T00:00:00,0
2019-02-07T00:00:00,0
2019-02-08T00:00:00,0
2019-02-09T00:00:00,0
2019-02-10T00:00:00,0
2019-02-11T00:00:00,0
2019-02-12T00:00:00,0
2019-02-13T00:00:00,0
2019-02-14T00:00:00,0
2019-02-15T00:00:00,0
2019-02-16T00:00:00,0
2019-02-17T00:00:00,0
2019-02-18T00:00:00,0
2019-02-19T00:00:00,0
2019-02-20T00:00:00,0
2019-02-21T16:47:00,1
2019-02-22T01:45:00,1
2019-02-23T00:00:00,0
2019-02-24T00:00:00,0
2019-02-25T00:00:00,0
2019-02-26T00:00:00,0
2019-02-27T21:37:00,1
2019-02-28T00:00:00,0
2019-03-01T00:00:00,0
2019-03-02T07:49:03,1
2019-03-03T00:00:00,0
2019-03-04T00:00:00,0
2019-03-05T00:00:00,0
2019-03-06T00:00:00,0
2019-03-07T00:00:00,0
2019-03-08T00:00:00,0
2019-03-09T17:28:00,1
2019-03-10T00:00:00,0
2019-03-11T00:00:00,0
2019-03-12T00:00:00,0
2019-03-13T00:00:00,0
2019-03-14T19:14:09,1
2019-03-15T00:00:00,0
2019-03-16T00:26:00,1
2019-03-17T00:00:00,0
2019-03-18T00:00:00,0
2019-03-19T00:00:00,0
2019-03-20T00:00:00,0
2019-03-21T00:00:00,0
2019-03-22T01:50:35,1
2019-03-23T00:00:00,0
2019-03-24T00:00:00,0
2019-03-25T00:00:00,0
2019-03-26T00:00:00,0
2019-03-27T09:39:00,1
2019-03-28T23:27:00,1
2019-03-29T00:00:00,0
2019-03-30T00:00:00,0
2019-03-31T15:50:00,1
2019-04-01T03:57:00,1
2019-04-02T00:00:00,0
2019-04-03T00:00:00,0
2019-04-04T17:03:00,2
2019-04-05T00:00:00,0
2019-04-06T00:00:00,0
2019-04-07T00:00:00,0
2019-04-08T00:00:00,0
2019-04-09T00:00:00,0
2019-04-10T00:00:00,0
2019-04-11T22:35:00,1
2019-04-12T00:00:00,0
2019-04-13T00:00:00,0
2019-04-14T00:00:00,0
2019-04-15T00:00:00,0
2019-04-16T00:00:00,0
2019-04-17T20:46:00,1
2019-04-18T00:00:00,0
2019-04-19T00:00:00,0
2019-04-20T14:41:00,1
2019-04-21T00:00:00,0
2019-04-22T00:00:00,0
2019-04-23T00:00:00,0
2019-04-24T00:00:00,0
2019-04-25T00:00:00,0
2019-04-26T00:00:00,0
2019-04-27T00:00:00,0
2019-04-28T00:00:00,0
2019-04-29T22:52:00,1
2019-04-30T00:00:00,0
2019-05-01T00:00:00,0
2019-05-02T00:00:00,0
2019-05-03T00:00:00,0
2019-05-04T06:48:00,1
2019-05-05T06:00:00,1
2019-05-06T00:00:00,0
2019-05-07T00:00:00,0
2019-05-08T00:00:00,0
2019-05-09T00:00:00,0
2019-05-10T00:00:00,0
2019-05-11T00:00:00,0
2019-05-12T00:00:00,0
2019-05-13T00:00:00,0
2019-05-14T00:00:00,0
2019-05-15T00:00:00,0
2019-05-16T00:00:00,0
2019-05-17T15:48:00,1
2019-05-18T00:00:00,0
2019-05-19T00:00:00,0
2019-05-20T00:00:00,0
2019-05-21T00:00:00,0
2019-05-22T22:49:00,2
2019-05-23T00:00:00,0
2019-05-24T02:30:00,1
2019-05-25T00:00:00,0
2019-05-26T00:00:00,0
2019-05-27T06:23:00,1
2019-05-28T00:00:00,0
2019-05-29T00:00:00,0
2019-05-30T17:42:00,1
2019-05-31T00:00:00,0
2019-06-01T00:00:00,0
2019-06-02T00:00:00,0
2019-06-03T00:00:00,0
2019-06-04T00:00:00,0
2019-06-05T04:06:00,1
2019-06-06T00:00:00,0
2019-06-07T00:00:00,0
2019-06-08T00:00:00,0
2019-06-09T00:00:00,0
2019-06-10T00:00:00,0
2019-06-11T00:00:00,0
2019-06-12T14:17:00,1
2019-06-13T00:00:00,0
2019-06-14T00:00:00,0
2019-06-15T00:00:00,0
2019-06-16T00:00:00,0
2019-06-17T00:00:00,0
2019-06-18T00:00:00,0
2019-06-19T00:00:00,0
2019-06-20T21:43:00,1
2019-06-21T00:00:00,0
2019-06-22T00:00:00,0
2019-06-23T00:00:00,0
2019-06-24T18:09:00,1
2019-06-25T06:30:00,1
2019-06-26T00:00:00,0
2019-06-27T00:00:00,0
2019-06-28T00:00:00,0
2019-06-29T04:30:00,1
2019-06-30T00:00:00,0
2019-07-01T00:00:00,0
2019-07-02T00:00:00,0
2019-07-03T00:00:00,0
2019-07-04T00:00:00,0
2019-07-05T05:41:00,1
2019-07-06T00:00:00,0
2019-07-07T00:00:00,0
2019-07-08T00:00:00,0
2019-07-09T00:00:00,0
2019-07-10T17:14:00,1
2019-07-11T01:53:03,1
2019-07-12T00:00:00,0
2019-07-13T12:30:57,1
2019-07-14T00:00:00,0
2019-07-15T00:00:00,0
2019-07-16T00:00:00,0
2019-07-17T00:00:00,0
2019-07-18T00:00:00,0
2019-07-19T00:00:00,0
2019-07-20T16:28:20,1
2019-07-21T00:00:00,0
2019-07-22T09:13:00,1
2019-07-23T00:00:00,0
2019-07-24T00:00:00,0
2019-07-25T22:01:56,2
2019-07-26T03:57:00,1
2019-07-27T00:00:00,0
2019-07-28T00:00:00,0
2019-07-29T00:00:00,0
2019-07-30T05:56:00,1
2019-07-31T12:10:46,1
2019-08-01T00:00:00,0
2019-08-02T00:00:00,0
2019-08-03T00:00:00,0
2019-08-04T00:00:00,0
2019-08-05T21:56:00,1
2019-08-06T23:23:00,2
2019-08-07T00:00:00,0
2019-08-08T10:13:00,1
2019-08-09T00:00:00,0
2019-08-10T00:00:00,0
2019-08-11T00:00:00,0
2019-08-12T00:00:00,0
2019-08-13T00:00:00,0
2019-08-14T00:00:00,0
2019-08-15T00:00:00,0
2019-08-16T00:00:00,0
2019-08-17T04:11:00,1
2019-08-18T00:00:00,0
2019-08-19T12:12:00,2
2019-08-20T00:00:00,0
2019-08-21T00:00:00,0
2019-08-22T13:06:00,2
2019-08-23T00:00:00,0
2019-08-24T00:00:00,0
2019-08-25T00:00:00,0
2019-08-26T00:00:00,0
2019-08-27T00:00:00,0
2019-08-28T00:00:00,0
2019-08-29T00:00:00,0
2019-08-30T23:41:00,2
2019-08-31T00:00:00,0
2019-09-01T00:00:00,0
2019-09-02T00:00:00,0
2019-09-03T00:00:00,0
2019-09-04T00:00:00,0
2019-09-05T00:00:00,0
2019-09-06T00:00:00,0
2019-09-07T00:00:00,0
2019-09-08T00:00:00,0
2019-09-09T00:00:00,0
2019-09-10T00:00:00,0
2019-09-11T00:00:00,0
2019-09-12T03:26:00,1
2019-09-13T00:00:00,0
2019-09-14T00:00:00,0
2019-09-15T00:00:00,0
2019-09-16T00:00:00,0
2019-09-17T00:00:00,0
2019-09-18T00:00:00,0
2019-09-19T06:42:00,1
2019-09-20T00:00:00,0
2019-09-21T00:00:00,0
2019-09-22T21:10:00,1
2019-09-23T00:00:00,0
2019-09-24T16:05:00,1
2019-09-25T13:57:43,2
2019-09-26T07:46:00,1
2019-09-27T00:00:00,0
2019-09-28T00:00:00,0
2019-09-29T00:00:00,0
2019-09-30T00:00:00,0
2019-10-01T00:00:00,0
2019-10-02T00:00:00,0
2019-10-03T00:00:00,0
2019-10-04T18:51:00,1
2019-10-05T00:00:00,0
2019-10-06T00:00:00,0
2019-10-07T00:00:00,0
2019-10-08T00:00:00,0
2019-10-09T10:17:00,1
2019-10-10T00:00:00,0
2019-10-11T02:00:00,1
2019-10-12T00:00:00,0
2019-10-13T00:00:00,0
2019-10-14T00:00:00,0
2019-10-15T00:00:00,0
